episode 107, score -1601.6885658378872, avg_score_total -1361.591, avg_score_last_20 -1425.2668991490782, time_steps_per_episode 200, learning_steps 40, total_time_steps 21600, total_learning_steps 4320
episode 108, score -1211.848081766671, avg_score_total -1360.217, avg_score_last_20 -1438.7530994570782, time_steps_per_episode 200, learning_steps 40, total_time_steps 21800, total_learning_steps 4360
episode 109, score -1391.761393488873, avg_score_total -1360.504, avg_score_last_20 -1425.3149505982976, time_steps_per_episode 200, learning_steps 40, total_time_steps 22000, total_learning_steps 4400
episode 110, score -1495.005581830355, avg_score_total -1361.716, avg_score_last_20 -1425.8590595043627, time_steps_per_episode 200, learning_steps 40, total_time_steps 22200, total_learning_steps 4440
episode 111, score -1498.7626976245722, avg_score_total -1362.939, avg_score_last_20 -1435.567258874075, time_steps_per_episode 200, learning_steps 40, total_time_steps 22400, total_learning_steps 4480
episode 112, score -1639.0556566398932, avg_score_total -1365.383, avg_score_last_20 -1465.400284055962, time_steps_per_episode 200, learning_steps 40, total_time_steps 22600, total_learning_steps 4520
episode 113, score -1504.764017734775, avg_score_total -1366.606, avg_score_last_20 -1466.9934273963017, time_steps_per_episode 200, learning_steps 40, total_time_steps 22800, total_learning_steps 4560
episode 114, score -1410.880678611571, avg_score_total -1366.991, avg_score_last_20 -1455.2934671485132, time_steps_per_episode 200, learning_steps 40, total_time_steps 23000, total_learning_steps 4600
episode 115, score -1603.108982481888, avg_score_total -1369.026, avg_score_last_20 -1464.9994901821665, time_steps_per_episode 200, learning_steps 40, total_time_steps 23200, total_learning_steps 4640
episode 116, score -1500.5950975881012, avg_score_total -1370.151, avg_score_last_20 -1456.3676022662482, time_steps_per_episode 200, learning_steps 40, total_time_steps 23400, total_learning_steps 4680
episode 117, score -1621.7798539561863, avg_score_total -1372.283, avg_score_last_20 -1476.10808108546, time_steps_per_episode 200, learning_steps 40, total_time_steps 23600, total_learning_steps 4720
episode 118, score -1601.339704672915, avg_score_total -1374.208, avg_score_last_20 -1474.787150187823, time_steps_per_episode 200, learning_steps 40, total_time_steps 23800, total_learning_steps 4760
episode 119, score -1073.5380542111125, avg_score_total -1371.702, avg_score_last_20 -1446.3009371497249, time_steps_per_episode 200, learning_steps 40, total_time_steps 24000, total_learning_steps 4800
episode 120, score -1497.0246819096403, avg_score_total -1372.738, avg_score_last_20 -1439.5945620032976, time_steps_per_episode 200, learning_steps 40, total_time_steps 24200, total_learning_steps 4840
episode 121, score -1240.037576303969, avg_score_total -1371.650, avg_score_last_20 -1425.3864390916422, time_steps_per_episode 200, learning_steps 40, total_time_steps 24400, total_learning_steps 4880
episode 122, score -1611.9529001594153, avg_score_total -1373.604, avg_score_last_20 -1448.7938129536874, time_steps_per_episode 200, learning_steps 40, total_time_steps 24600, total_learning_steps 4920
episode 123, score -1274.0242735634788, avg_score_total -1372.801, avg_score_last_20 -1445.487084204875, time_steps_per_episode 200, learning_steps 40, total_time_steps 24800, total_learning_steps 4960
episode 124, score -1208.7323280806916, avg_score_total -1371.488, avg_score_last_20 -1422.011920065514, time_steps_per_episode 200, learning_steps 40, total_time_steps 25000, total_learning_steps 5000
episode 125, score -1635.8725461536062, avg_score_total -1373.587, avg_score_last_20 -1450.7778960312776, time_steps_per_episode 200, learning_steps 40, total_time_steps 25200, total_learning_steps 5040
episode 126, score -1560.234228200473, avg_score_total -1375.056, avg_score_last_20 -1459.1003450408036, time_steps_per_episode 200, learning_steps 40, total_time_steps 25400, total_learning_steps 5080
episode 127, score -1499.6812761367319, avg_score_total -1376.030, avg_score_last_20 -1453.9999805557459, time_steps_per_episode 200, learning_steps 40, total_time_steps 25600, total_learning_steps 5120
episode 128, score -1443.075863678149, avg_score_total -1376.550, avg_score_last_20 -1465.5613696513199, time_steps_per_episode 200, learning_steps 40, total_time_steps 25800, total_learning_steps 5160
episode 129, score -1495.9140829583296, avg_score_total -1377.468, avg_score_last_20 -1470.769004124793, time_steps_per_episode 200, learning_steps 40, total_time_steps 26000, total_learning_steps 5200
episode 130, score -1681.450777912501, avg_score_total -1379.788, avg_score_last_20 -1480.0912639289002, time_steps_per_episode 200, learning_steps 40, total_time_steps 26200, total_learning_steps 5240
episode 131, score -1670.9733946815218, avg_score_total -1381.994, avg_score_last_20 -1488.7017987817476, time_steps_per_episode 200, learning_steps 40, total_time_steps 26400, total_learning_steps 5280
episode 132, score -1498.9502193644842, avg_score_total -1382.874, avg_score_last_20 -1481.696526917977, time_steps_per_episode 200, learning_steps 40, total_time_steps 26600, total_learning_steps 5320
episode 133, score -1270.7485131921453, avg_score_total -1382.037, avg_score_last_20 -1469.9957516908457, time_steps_per_episode 200, learning_steps 40, total_time_steps 26800, total_learning_steps 5360
episode 134, score -1575.5754210142927, avg_score_total -1383.471, avg_score_last_20 -1478.2304888109816, time_steps_per_episode 200, learning_steps 40, total_time_steps 27000, total_learning_steps 5400
episode 135, score -1643.3387065898007, avg_score_total -1385.381, avg_score_last_20 -1480.2419750163772, time_steps_per_episode 200, learning_steps 40, total_time_steps 27200, total_learning_steps 5440
episode 136, score -1657.9827270330597, avg_score_total -1387.371, avg_score_last_20 -1488.1113564886252, time_steps_per_episode 200, learning_steps 40, total_time_steps 27400, total_learning_steps 5480
episode 137, score -1246.003190117058, avg_score_total -1386.347, avg_score_last_20 -1469.3225232966688, time_steps_per_episode 200, learning_steps 40, total_time_steps 27600, total_learning_steps 5520
episode 138, score -1585.4284659202465, avg_score_total -1387.779, avg_score_last_20 -1468.5269613590356, time_steps_per_episode 200, learning_steps 40, total_time_steps 27800, total_learning_steps 5560
episode 139, score -1680.7353601054353, avg_score_total -1389.872, avg_score_last_20 -1498.8868266537515, time_steps_per_episode 200, learning_steps 40, total_time_steps 28000, total_learning_steps 5600
episode 140, score -829.5289337744118, avg_score_total -1385.897, avg_score_last_20 -1465.51203924699, time_steps_per_episode 200, learning_steps 40, total_time_steps 28200, total_learning_steps 5640
episode 141, score -1231.4254760344888, avg_score_total -1384.810, avg_score_last_20 -1465.081434233516, time_steps_per_episode 200, learning_steps 40, total_time_steps 28400, total_learning_steps 5680
episode 142, score -1322.6161236012815, avg_score_total -1384.375, avg_score_last_20 -1450.6145954056092, time_steps_per_episode 200, learning_steps 40, total_time_steps 28600, total_learning_steps 5720
episode 143, score -1499.4403216991425, avg_score_total -1385.174, avg_score_last_20 -1461.8853978123923, time_steps_per_episode 200, learning_steps 40, total_time_steps 28800, total_learning_steps 5760
episode 144, score -1627.5493067672357, avg_score_total -1386.845, avg_score_last_20 -1482.8262467467198, time_steps_per_episode 200, learning_steps 40, total_time_steps 29000, total_learning_steps 5800
episode 145, score -1636.6693293371375, avg_score_total -1388.556, avg_score_last_20 -1482.8660859058964, time_steps_per_episode 200, learning_steps 40, total_time_steps 29200, total_learning_steps 5840
episode 146, score -1592.5007414736547, avg_score_total -1389.944, avg_score_last_20 -1484.4794115695554, time_steps_per_episode 200, learning_steps 40, total_time_steps 29400, total_learning_steps 5880
episode 147, score -832.8916132088382, avg_score_total -1386.180, avg_score_last_20 -1451.1399284231607, time_steps_per_episode 200, learning_steps 40, total_time_steps 29600, total_learning_steps 5920
episode 148, score -1571.1768802476101, avg_score_total -1387.422, avg_score_last_20 -1457.5449792516338, time_steps_per_episode 200, learning_steps 40, total_time_steps 29800, total_learning_steps 5960
episode 149, score -1324.3293466883547, avg_score_total -1387.001, avg_score_last_20 -1448.9657424381353, time_steps_per_episode 200, learning_steps 40, total_time_steps 30000, total_learning_steps 6000
episode 150, score -1519.4711865246263, avg_score_total -1387.878, avg_score_last_20 -1440.8667628687413, time_steps_per_episode 200, learning_steps 40, total_time_steps 30200, total_learning_steps 6040
episode 151, score -1688.321116959632, avg_score_total -1389.855, avg_score_last_20 -1441.7341489826472, time_steps_per_episode 200, learning_steps 40, total_time_steps 30400, total_learning_steps 6080
episode 152, score -1678.3137044340594, avg_score_total -1391.740, avg_score_last_20 -1450.7023232361257, time_steps_per_episode 200, learning_steps 40, total_time_steps 30600, total_learning_steps 6120
episode 153, score -1496.6845665009776, avg_score_total -1392.422, avg_score_last_20 -1461.9991259015674, time_steps_per_episode 200, learning_steps 40, total_time_steps 30800, total_learning_steps 6160
episode 154, score -1667.0928328601622, avg_score_total -1394.194, avg_score_last_20 -1466.5749964938607, time_steps_per_episode 200, learning_steps 40, total_time_steps 31000, total_learning_steps 6200
episode 155, score -1650.4061778124797, avg_score_total -1395.836, avg_score_last_20 -1466.9283700549945, time_steps_per_episode 200, learning_steps 40, total_time_steps 31200, total_learning_steps 6240
episode 156, score -1490.7291340804886, avg_score_total -1396.440, avg_score_last_20 -1458.5656904073662, time_steps_per_episode 200, learning_steps 40, total_time_steps 31400, total_learning_steps 6280
episode 157, score -1183.67710262254, avg_score_total -1395.094, avg_score_last_20 -1455.4493860326402, time_steps_per_episode 200, learning_steps 40, total_time_steps 31600, total_learning_steps 6320
episode 158, score -1660.4772502862475, avg_score_total -1396.763, avg_score_last_20 -1459.2018252509401, time_steps_per_episode 200, learning_steps 40, total_time_steps 31800, total_learning_steps 6360
episode 159, score -1630.5593811850829, avg_score_total -1398.224, avg_score_last_20 -1456.6930263049223, time_steps_per_episode 200, learning_steps 40, total_time_steps 32000, total_learning_steps 6400
